,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
19,1/26/2024,20:30,Bundesliga,Matchweek 19,Fri,Away,L,0,1,Eint Frankfurt,0.8,1.3,45,58000,Silvan Widmer,3/5/2002,3/4/2003,Felix Zwayer,Match Report,,7,0,17.5,0,0,0,2024,Mainz 05
20,2/3/2024,15:30,Bundesliga,Matchweek 20,Sat,Home,L,0,1,Werder Bremen,0.8,0.6,59,31800,Silvan Widmer,4-2-3-1,3/5/2002,Benjamin Brand,Match Report,,23,5,21.9,1,0,0,2024,Mainz 05
21,2/7/2024,18:30,Bundesliga,Matchweek 18,Wed,Home,D,1,1,Union Berlin,1.3,1,46,26200,Robin Zentner,4/3/2003,3/5/2002,Martin Petersen,Match Report,,16,6,14.6,2,0,0,2024,Mainz 05
22,2/11/2024,15:30,Bundesliga,Matchweek 21,Sun,Away,L,1,3,Stuttgart,1.4,1.9,39,52005,Robin Zentner,3/4/2003,4-2-3-1,Deniz Aytekin,Match Report,,17,6,17.2,0,0,0,2024,Mainz 05
23,2/17/2024,15:30,Bundesliga,Matchweek 22,Sat,Home,W,1,0,Augsburg,2.1,1,46,24800,Robin Zentner,3/4/2003,4-1-2-1-2,Tobias Reichel,Match Report,,17,4,16.7,0,0,1,2024,Mainz 05
24,2/23/2024,20:30,Bundesliga,Matchweek 23,Fri,Away,L,1,2,Leverkusen,1.1,1.1,33,30210,Silvan Widmer,3/4/2003,3/4/2003,Timo Gerach,Match Report,,13,4,20.3,0,0,0,2024,Mainz 05
25,3/2/2024,15:30,Bundesliga,Matchweek 24,Sat,Home,D,1,1,Gladbach,1,1,43,33305,Silvan Widmer,3/4/2003,4/3/2003,Robert Schröder,Match Report,,19,3,18.9,2,0,0,2024,Mainz 05
26,3/9/2024,15:30,Bundesliga,Matchweek 25,Sat,Away,L,1,8,Bayern Munich,0.8,6.2,41,75000,Silvan Widmer,3/4/2003,4-2-3-1,Patrick Ittrich,Match Report,,14,2,20.2,1,0,0,2024,Mainz 05
27,3/16/2024,15:30,Bundesliga,Matchweek 26,Sat,Home,W,2,0,Bochum,2.5,0.7,50,33000,Robin Zentner,3/4/2003,4-1-2-1-2,Matthias Jöllenbeck,Match Report,,14,3,19,0,1,1,2024,Mainz 05
28,3/30/2024,15:30,Bundesliga,Matchweek 27,Sat,Away,D,0,0,RB Leipzig,0.9,2.5,34,44813,Robin Zentner,3/4/2003,4/4/2002,Frank Willenborg,Match Report,,8,2,15.4,0,0,0,2024,Mainz 05
29,4/6/2024,15:30,Bundesliga,Matchweek 28,Sat,Home,W,4,0,Darmstadt 98,3.6,0.5,59,33000,Robin Zentner,3/4/2003,4-1-3-2,Daniel Schlager,Match Report,,18,9,14.9,3,0,0,2024,Mainz 05
30,4/13/2024,15:30,Bundesliga,Matchweek 29,Sat,Home,W,4,1,Hoffenheim,2.1,0.5,47,31000,Robin Zentner,3/4/2003,3/5/2002,Felix Zwayer,Match Report,,25,8,17.5,0,0,0,2024,Mainz 05
31,4/21/2024,19:30,Bundesliga,Matchweek 30,Sun,Away,D,1,1,Freiburg,1,1.1,60,34300,Robin Zentner,3/4/2003,3/4/2003,Marco Fritz,Match Report,,16,3,18.9,1,0,0,2024,Mainz 05
32,4/28/2024,17:30,Bundesliga,Matchweek 31,Sun,Home,D,1,1,Köln,1.6,2.5,39,33305,Robin Zentner,3/4/2003,4-2-3-1,Benjamin Brand,Match Report,,16,4,14.7,0,0,0,2024,Mainz 05
33,5/5/2024,19:30,Bundesliga,Matchweek 32,Sun,Away,D,1,1,Heidenheim,1.4,0.9,54,15000,Silvan Widmer,3/4/2003,4-1-3-2,Sven Jablonski,Match Report,,10,3,14.8,0,0,0,2024,Mainz 05
34,5/11/2024,18:30,Bundesliga,Matchweek 33,Sat,Home,W,3,0,Dortmund,2.1,0.4,32,33305,Silvan Widmer,3/4/2003,4/3/2003,Tobias Stieler,Match Report,,14,6,15.8,2,0,0,2024,Mainz 05
35,5/18/2024,15:30,Bundesliga,Matchweek 34,Sat,Away,W,3,1,Wolfsburg,1.8,0.8,37,26627,Silvan Widmer,3/4/2003,3/4/2003,Frank Willenborg,Match Report,,12,6,16.7,0,0,0,2024,Mainz 05
1,8/19/2023,15:30,Bundesliga,Matchweek 1,Sat,Away,D,4,4,Augsburg,1.7,2.3,44,30660,Jonas Omlin,4-2-3-1,4-2-2-2,Daniel Schlager,Match Report,,9,4,17,0,1,1,2024,Monchengladbach
2,8/26/2023,18:30,Bundesliga,Matchweek 2,Sat,Home,L,0,3,Leverkusen,0.9,2.7,40,54042,Jonas Omlin,5/4/2001,3/4/2003,Christian Dingert,Match Report,,12,2,19.4,0,0,0,2024,Monchengladbach
3,9/2/2023,18:30,Bundesliga,Matchweek 3,Sat,Home,L,1,2,Bayern Munich,0.3,2.4,35,54042,Julian Weigl,4-1-4-1,4-2-3-1,Deniz Aytekin,Match Report,,7,3,24.5,1,0,0,2024,Monchengladbach
4,9/17/2023,17:30,Bundesliga,Matchweek 4,Sun,Away,D,3,3,Darmstadt 98,3.9,1.2,63,17810,Julian Weigl,4-2-3-1,3/5/2002,Timo Gerach,Match Report,,21,9,16,0,0,1,2024,Monchengladbach
5,9/23/2023,15:30,Bundesliga,Matchweek 5,Sat,Home,L,0,1,RB Leipzig,0.8,0.7,45,50122,Julian Weigl,3/5/2002,4/4/2002,Robert Schröder,Match Report,,14,1,16,1,0,0,2024,Monchengladbach
6,9/30/2023,15:30,Bundesliga,Matchweek 6,Sat,Away,W,3,1,Bochum,2.9,1.7,42,26000,Julian Weigl,3/5/2002,3/5/2002,Felix Brych,Match Report,,27,8,15.3,0,0,0,2024,Monchengladbach
7,10/6/2023,20:30,Bundesliga,Matchweek 7,Fri,Home,D,2,2,Mainz 05,2.3,0.8,60,51529,Julian Weigl,3/5/2002,3/4/2003,Sven Jablonski,Match Report,,21,9,14.6,1,0,0,2024,Monchengladbach
8,10/22/2023,15:30,Bundesliga,Matchweek 8,Sun,Away,L,1,3,Köln,0.3,2.7,40,50000,Julian Weigl,3/5/2002,4-2-3-1,Deniz Aytekin,Match Report,,5,2,21.4,1,0,0,2024,Monchengladbach
9,10/28/2023,15:30,Bundesliga,Matchweek 9,Sat,Home,W,2,1,Heidenheim,1,0.4,53,51541,Julian Weigl,4-2-3-1,4-2-3-1,Robert Hartmann,Match Report,,13,5,14,0,0,0,2024,Monchengladbach
11,11/4/2023,15:30,Bundesliga,Matchweek 10,Sat,Away,D,3,3,Freiburg,2.2,3.3,41,34700,Julian Weigl,4-4-1-1,4/4/2002,Felix Brych,Match Report,,9,4,24,0,1,1,2024,Monchengladbach
12,11/10/2023,20:30,Bundesliga,Matchweek 11,Fri,Home,W,4,0,Wolfsburg,1.5,0.5,47,45308,Julian Weigl,3/5/2002,4/4/2002,Felix Zwayer,Match Report,,15,8,16.4,0,0,0,2024,Monchengladbach
13,11/25/2023,15:30,Bundesliga,Matchweek 12,Sat,Away,L,2,4,Dortmund,1,3.2,49,81365,Julian Weigl,3/5/2002,4-2-3-1,Sven Jablonski,Match Report,,10,3,16.1,0,0,0,2024,Monchengladbach
14,12/2/2023,15:30,Bundesliga,Matchweek 13,Sat,Home,W,2,1,Hoffenheim,1.6,1.4,49,49341,Florian Neuhaus,3-5-1-1,3-1-4-2,Tobias Reichel,Match Report,,8,2,21.9,0,1,1,2024,Monchengladbach
16,12/9/2023,15:30,Bundesliga,Matchweek 14,Sat,Away,L,1,3,Union Berlin,1.1,2.1,62,22012,Julian Weigl,3-1-4-2,4-2-3-1,Martin Petersen,Match Report,,11,3,20.7,0,0,0,2024,Monchengladbach
17,12/15/2023,20:30,Bundesliga,Matchweek 15,Fri,Home,D,2,2,Werder Bremen,1.4,1.6,50,50660,Julian Weigl,3/5/2002,3/4/2003,Felix Zwayer,Match Report,,14,4,18.9,0,0,0,2024,Monchengladbach
18,12/20/2023,20:30,Bundesliga,Matchweek 16,Wed,Away,L,1,2,Eint Frankfurt,0.3,1.4,37,58000,Julian Weigl,3/4/2003,4/4/2002,Florian Badstübner,Match Report,,7,2,22.4,0,0,0,2024,Monchengladbach
19,1/14/2024,17:30,Bundesliga,Matchweek 17,Sun,Home,W,3,1,Stuttgart,1.9,0.9,29,53429,Julian Weigl,4/3/2003,4-2-3-1,Harm Osmers,Match Report,,8,4,12.5,0,0,0,2024,Monchengladbach
20,1/21/2024,17:30,Bundesliga,Matchweek 18,Sun,Home,L,1,2,Augsburg,1.7,1.3,55,44867,Alassane Pléa,4/4/2002,4-3-1-2,Martin Petersen,Match Report,,18,4,17.3,0,0,0,2024,Monchengladbach
21,1/27/2024,18:30,Bundesliga,Matchweek 19,Sat,Away,D,0,0,Leverkusen,0.3,2.9,25,30210,Julian Weigl,5/3/2002,3/4/2003,Deniz Aytekin,Match Report,,4,3,19.4,0,0,0,2024,Monchengladbach
22,2/3/2024,15:30,Bundesliga,Matchweek 20,Sat,Away,L,1,3,Bayern Munich,1,2.1,45,75000,Julian Weigl,4-1-4-1,4-2-3-1,Tobias Stieler,Match Report,,11,2,22.4,0,0,0,2024,Monchengladbach
23,2/10/2024,15:30,Bundesliga,Matchweek 21,Sat,Home,D,0,0,Darmstadt 98,1.5,0.7,58,46121,Julian Weigl,3/5/2002,3-4-1-2,Sascha Stegemann,Match Report,,24,8,19.1,0,0,0,2024,Monchengladbach
24,2/17/2024,18:30,Bundesliga,Matchweek 22,Sat,Away,L,0,2,RB Leipzig,0.7,1.7,51,44822,Julian Weigl,3/5/2002,4-2-2-2,Sören Storks,Match Report,,15,0,17.3,0,0,0,2024,Monchengladbach
25,2/24/2024,15:30,Bundesliga,Matchweek 23,Sat,Home,W,5,2,Bochum,3.5,1.6,48,53196,Julian Weigl,4/3/2003,4/5/2001,Frank Willenborg,Match Report,,21,5,16.9,0,1,1,2024,Monchengladbach
26,3/2/2024,15:30,Bundesliga,Matchweek 24,Sat,Away,D,1,1,Mainz 05,1,1,57,33305,Julian Weigl,4/3/2003,3/4/2003,Robert Schröder,Match Report,,14,5,16.1,0,0,0,2024,Monchengladbach
27,3/9/2024,15:30,Bundesliga,Matchweek 25,Sat,Home,D,3,3,Köln,1.8,0.6,58,54042,Julian Weigl,4-2-3-1,4-2-3-1,Felix Zwayer,Match Report,,17,5,13.9,0,0,0,2024,Monchengladbach
29,3/16/2024,15:30,Bundesliga,Matchweek 26,Sat,Away,D,1,1,Heidenheim,0.5,1.1,47,15000,Julian Weigl,4/3/2003,4-2-3-1,Martin Petersen,Match Report,,7,2,20.5,0,0,0,2024,Monchengladbach
30,3/30/2024,15:30,Bundesliga,Matchweek 27,Sat,Home,L,0,3,Freiburg,1.5,1.7,54,53259,Jonas Omlin,4-2-3-1,3-4-1-2,Christian Dingert,Match Report,,19,3,13.4,0,0,0,2024,Monchengladbach
31,4/7/2024,17:30,Bundesliga,Matchweek 28,Sun,Away,W,3,1,Wolfsburg,1.1,1.2,39,26105,Julian Weigl,3/4/2003,4/4/2002,Bastian Dankert,Match Report,,10,6,14.7,0,0,0,2024,Monchengladbach
32,4/13/2024,15:30,Bundesliga,Matchweek 29,Sat,Home,L,1,2,Dortmund,1.1,1.3,46,54042,Jonas Omlin,3/4/2003,4-2-3-1,Florian Badstübner,Match Report,,18,4,17.1,0,0,0,2024,Monchengladbach
33,4/20/2024,15:30,Bundesliga,Matchweek 30,Sat,Away,L,3,4,Hoffenheim,1,2.3,41,26078,Julian Weigl,5/4/2001,3/5/2002,Sören Storks,Match Report,,13,7,12.8,0,0,0,2024,Monchengladbach
34,4/28/2024,15:30,Bundesliga,Matchweek 31,Sun,Home,D,0,0,Union Berlin,0.9,1,52,53723,Alassane Pléa,3/4/2003,3-4-1-2,Sascha Stegemann,Match Report,,13,4,15.4,0,0,0,2024,Monchengladbach
35,5/4/2024,15:30,Bundesliga,Matchweek 32,Sat,Away,D,2,2,Werder Bremen,1.9,1.4,44,42100,Julian Weigl,3-1-4-2,3/4/2003,Timo Gerach,Match Report,,16,5,19.3,0,1,1,2024,Monchengladbach
36,5/11/2024,15:30,Bundesliga,Matchweek 33,Sat,Home,D,1,1,Eint Frankfurt,0.4,1.5,44,54042,Julian Weigl,3/5/2002,3/5/2002,Robert Schröder,Match Report,,6,3,20.6,0,0,0,2024,Monchengladbach
37,5/18/2024,15:30,Bundesliga,Matchweek 34,Sat,Away,L,0,4,Stuttgart,1.3,1.6,40,60000,Jonas Omlin,4-1-4-1,4-2-3-1,Daniel Schlager,Match Report,,14,5,16.4,0,0,0,2024,Monchengladbach
1,8/20/2023,15:30,Bundesliga,Matchweek 1,Sun,Home,W,4,1,Mainz 05,1.9,2.3,47,22012,Christopher Trimmel,5/3/2002,3/4/2003,Tobias Stieler,Match Report,,11,6,14.8,2,0,0,2024,Union Berlin
2,8/26/2023,15:30,Bundesliga,Matchweek 2,Sat,Away,W,4,1,Darmstadt 98,1.7,2.3,27,17810,Danilho Doekhi,3/5/2002,3/4/2003,Patrick Ittrich,Match Report,,13,6,15.3,0,0,0,2024,Union Berlin
3,9/3/2023,17:30,Bundesliga,Matchweek 3,Sun,Home,L,0,3,RB Leipzig,0.3,1.2,36,22012,Danilho Doekhi,3/4/2003,4-2-2-2,Daniel Schlager,Match Report,,3,1,21.7,1,0,0,2024,Union Berlin
4,9/16/2023,15:30,Bundesliga,Matchweek 4,Sat,Away,L,1,2,Wolfsburg,1.1,0.4,56,21917,Christopher Trimmel,3/5/2002,4-2-3-1,Felix Brych,Match Report,,19,6,14.8,0,0,0,2024,Union Berlin
6,9/23/2023,15:30,Bundesliga,Matchweek 5,Sat,Home,L,0,2,Hoffenheim,1.6,2,57,20000,Sheraldo Becker,3/5/2002,3/5/2002,Deniz Aytekin,Match Report,,22,5,15.2,0,0,0,2024,Union Berlin
7,9/30/2023,15:30,Bundesliga,Matchweek 6,Sat,Away,L,0,1,Heidenheim,2.2,0.8,50,15000,Christopher Trimmel,3/4/2003,4-2-3-1,Sascha Stegemann,Match Report,,20,8,16.9,2,0,0,2024,Union Berlin
9,10/7/2023,15:30,Bundesliga,Matchweek 7,Sat,Away,L,2,4,Dortmund,1.4,1.6,34,81365,Christopher Trimmel,5/3/2002,4-2-3-1,Patrick Ittrich,Match Report,,12,4,18.7,0,1,1,2024,Union Berlin
10,10/21/2023,15:30,Bundesliga,Matchweek 8,Sat,Home,L,0,3,Stuttgart,0.6,1.4,43,22012,Christopher Trimmel,3/5/2002,4-2-3-1,Bastian Dankert,Match Report,,9,1,18.2,0,0,0,2024,Union Berlin
12,10/28/2023,15:30,Bundesliga,Matchweek 9,Sat,Away,L,0,2,Werder Bremen,0.6,0.8,44,42100,Christopher Trimmel,3/5/2002,3/5/2002,Tobias Stieler,Match Report,,7,2,18.4,0,0,0,2024,Union Berlin
14,11/4/2023,15:30,Bundesliga,Matchweek 10,Sat,Home,L,0,3,Eint Frankfurt,0.7,1.6,50,22012,Christopher Trimmel,5/4/2001,3/4/2003,Sven Jablonski,Match Report,,11,3,18.5,0,0,0,2024,Union Berlin
16,11/12/2023,15:30,Bundesliga,Matchweek 11,Sun,Away,L,0,4,Leverkusen,0,2.4,31,29387,Sheraldo Becker,3/4/2003,3/4/2003,Timo Gerach,Match Report,,2,2,20.4,0,0,0,2024,Union Berlin
17,11/25/2023,15:30,Bundesliga,Matchweek 12,Sat,Home,D,1,1,Augsburg,2.1,1.7,61,22012,Christopher Trimmel,3/4/2003,4-2-3-1,Florian Badstübner,Match Report,,14,5,17.3,0,0,1,2024,Union Berlin
19,12/9/2023,15:30,Bundesliga,Matchweek 14,Sat,Home,W,3,1,Gladbach,2.1,1.1,38,22012,Rani Khedira,4-2-3-1,3-1-4-2,Martin Petersen,Match Report,,15,5,16.8,1,1,1,2024,Union Berlin
21,12/16/2023,15:30,Bundesliga,Matchweek 15,Sat,Away,L,0,3,Bochum,0.7,2.8,51,25300,Rani Khedira,4-2-3-1,4/3/2003,Sven Jablonski,Match Report,,9,1,13,0,0,0,2024,Union Berlin
22,12/20/2023,18:30,Bundesliga,Matchweek 16,Wed,Home,W,2,0,Köln,1.5,0.8,40,22012,Rani Khedira,4/3/2003,4-1-3-2,Deniz Aytekin,Match Report,,11,6,13.2,0,0,0,2024,Union Berlin
23,1/13/2024,15:30,Bundesliga,Matchweek 17,Sat,Away,D,0,0,Freiburg,0.5,1.8,43,33800,Jérôme Roussillon,5/3/2002,4-2-3-1,Christian Dingert,Match Report,,9,4,18.4,0,0,0,2024,Union Berlin
24,1/24/2024,20:30,Bundesliga,Matchweek 13,Wed,Away,L,0,1,Bayern Munich,0.2,2.1,28,75000,Christopher Trimmel,5/3/2002,4-2-3-1,Frank Willenborg,Match Report,,4,1,19.3,0,0,0,2024,Union Berlin
25,1/28/2024,15:30,Bundesliga,Matchweek 19,Sun,Home,W,1,0,Darmstadt 98,2.5,1.1,50,21786,Christopher Trimmel,3/5/2002,3-3-3-1,Harm Osmers,Match Report,,21,6,14.9,0,0,0,2024,Union Berlin
26,2/4/2024,17:30,Bundesliga,Matchweek 20,Sun,Away,L,0,2,RB Leipzig,0.5,1.1,34,44032,Christopher Trimmel,3/5/2002,4-2-2-2,Marco Fritz,Match Report,,10,2,19.3,0,0,0,2024,Union Berlin
27,2/7/2024,18:30,Bundesliga,Matchweek 18,Wed,Away,D,1,1,Mainz 05,1,1.3,54,26200,Rani Khedira,3/5/2002,4/3/2003,Martin Petersen,Match Report,,16,4,16.7,0,0,0,2024,Union Berlin
28,2/10/2024,15:30,Bundesliga,Matchweek 21,Sat,Home,W,1,0,Wolfsburg,0.5,1.3,42,22000,Rani Khedira,3/5/2002,4/4/2002,Matthias Jöllenbeck,Match Report,,8,1,15.7,0,0,0,2024,Union Berlin
